epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
15 2 maps 0.011660 0.011390 -0.000270 -0.000037 -0.000035 0.000002 0.000014 0.000015 0.000001 - + +
15 3 Earth’s -0.010798 -0.010548 0.000250 -0.000032 -0.000030 0.000001 0.000012 0.000013 0.000001 + + +
15 4 features. 0.015225 0.014872 -0.000353 -0.000063 -0.000060 0.000003 0.000024 0.000026 0.000002 - + +
15 5 Mountains -0.041251 -0.040295 0.000956 -0.000462 -0.000441 0.000021 0.000174 0.000191 0.000017 + + +
15 6 rise -0.034472 -0.033673 0.000799 -0.000323 -0.000308 0.000015 0.000122 0.000133 0.000012 + + +
15 7 from 0.011669 0.011398 -0.000270 -0.000037 -0.000035 0.000002 0.000014 0.000015 0.000001 - + +
15 8 tectonic 0.013681 0.013364 -0.000317 -0.000051 -0.000048 0.000002 0.000019 0.000021 0.000002 - + +
15 9 plates -0.018919 -0.018480 0.000438 -0.000097 -0.000093 0.000004 0.000037 0.000040 0.000004 + + +
15 10 clashing. 0.045038 0.043994 -0.001043 -0.000551 -0.000525 0.000025 0.000208 0.000228 0.000020 - + +
15 11 Rivers -0.027154 -0.026525 0.000629 -0.000200 -0.000191 0.000009 0.000076 0.000083 0.000007 + + +
15 12 carve -0.000596 -0.000582 0.000014 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 + + +
15 13 valleys, -0.035173 -0.034358 0.000815 -0.000336 -0.000320 0.000015 0.000127 0.000139 0.000012 + + +
15 14 flowing -0.036311 -0.035469 0.000841 -0.000358 -0.000341 0.000016 0.000135 0.000148 0.000013 + + +
15 15 to -0.011569 -0.011301 0.000268 -0.000036 -0.000035 0.000002 0.000014 0.000015 0.000001 + + +
15 16 oceans. 0.005243 0.005121 -0.000121 -0.000007 -0.000007 0.000000 0.000003 0.000003 0.000000 - + +
15 17 Climate 0.045129 0.044084 -0.001046 -0.000553 -0.000528 0.000025 0.000209 0.000229 0.000020 - + +
15 18 varies—deserts -0.002199 -0.002148 0.000051 -0.000001 -0.000001 0.000000 0.000000 0.000001 0.000000 + + +
15 19 bake, -0.017898 -0.017484 0.000415 -0.000087 -0.000083 0.000004 0.000033 0.000036 0.000003 + + +
15 20 tundras -0.025707 -0.025112 0.000596 -0.000179 -0.000171 0.000008 0.000068 0.000074 0.000006 + + +
15 21 freeze. -0.033876 -0.033091 0.000785 -0.000312 -0.000297 0.000014 0.000118 0.000129 0.000011 + + +
15 22 Population 0.039645 0.038726 -0.000919 -0.000427 -0.000407 0.000020 0.000161 0.000176 0.000015 - + +
15 23 clusters 0.013339 0.013030 -0.000309 -0.000048 -0.000046 0.000002 0.000018 0.000020 0.000002 - + +
15 24 in -0.014781 -0.014439 0.000342 -0.000059 -0.000057 0.000003 0.000022 0.000025 0.000002 + + +
15 25 cities, 0.043753 0.042739 -0.001014 -0.000520 -0.000496 0.000024 0.000196 0.000215 0.000019 - + +
15 26 spreading -0.029978 -0.029284 0.000695 -0.000244 -0.000233 0.000011 0.000092 0.000101 0.000009 + + +
15 27 culture. -0.044590 -0.043556 0.001033 -0.000540 -0.000515 0.000025 0.000204 0.000223 0.000019 + + +
15 28 Resources 0.045929 0.044865 -0.001064 -0.000573 -0.000546 0.000026 0.000216 0.000237 0.000021 - + +
15 29 like 0.016662 0.016276 -0.000386 -0.000075 -0.000072 0.000003 0.000028 0.000031 0.000003 - + +
15 30 oil -0.007876 -0.007693 0.000182 -0.000017 -0.000016 0.000001 0.000006 0.000007 0.000001 + + +
15 31 or 0.019334 0.018886 -0.000448 -0.000101 -0.000097 0.000005 0.000038 0.000042 0.000004 - + +
15 32 water -0.007051 -0.006887 0.000163 -0.000013 -0.000013 0.000001 0.000005 0.000006 0.000000 + + +
15 33 shape 0.000973 0.000951 -0.000023 -0.000000 -0.000000 0.000000 0.000000 0.000000 0.000000 - + +
15 34 economies. -0.034648 -0.033845 0.000803 -0.000326 -0.000311 0.000015 0.000123 0.000135 0.000012 + + +
15 35 Maps 0.024595 0.024025 -0.000570 -0.000164 -0.000157 0.000008 0.000062 0.000068 0.000006 - + +
15 36 guide -0.035889 -0.035058 0.000831 -0.000350 -0.000334 0.000016 0.000132 0.000145 0.000013 + + +
15 37 travel, 0.037969 0.037089 -0.000880 -0.000391 -0.000373 0.000018 0.000148 0.000162 0.000014 - + +
15 38 showing -0.032598 -0.031843 0.000755 -0.000288 -0.000275 0.000013 0.000109 0.000119 0.000010 + + +
15 39 borders -0.009587 -0.009365 0.000222 -0.000025 -0.000024 0.000001 0.000009 0.000010 0.000001 + + +
15 40 and -0.025491 -0.024901 0.000591 -0.000176 -0.000168 0.000008 0.000067 0.000073 0.000006 + + +
15 41 terrain. -0.006139 -0.005997 0.000142 -0.000010 -0.000010 0.000000 0.000004 0.000004 0.000000 + + +
15 42 explains 0.024047 0.023489 -0.000557 -0.000157 -0.000150 0.000007 0.000059 0.000065 0.000006 - + +
15 43 human-environment -0.020648 -0.020170 0.000478 -0.000116 -0.000110 0.000005 0.000044 0.000048 0.000004 + + +
15 44 ties. 0.015874 0.015506 -0.000368 -0.000068 -0.000065 0.000003 0.000026 0.000028 0.000002 - + +
15 45 end_token 0.012966 0.007820 -0.005145 -0.000046 -0.000017 0.000029 0.000017 0.000007 -0.000010 - + -
20 1 Geography -0.190320 -0.301083 -0.110763 -0.009832 -0.024602 -0.014770 0.004260 0.010365 0.006105 - - +
20 2 maps 0.011390 0.011126 -0.000264 -0.000035 -0.000034 0.000002 0.000015 0.000014 -0.000001 - + -
20 3 Earth’s -0.010548 -0.010303 0.000244 -0.000030 -0.000029 0.000001 0.000013 0.000012 -0.000001 + + -
20 4 features. 0.014872 0.014528 -0.000345 -0.000060 -0.000057 0.000003 0.000026 0.000024 -0.000002 - + -
20 5 Mountains -0.040295 -0.039362 0.000934 -0.000441 -0.000420 0.000020 0.000191 0.000177 -0.000014 + + -
20 6 rise -0.033673 -0.032893 0.000780 -0.000308 -0.000294 0.000014 0.000133 0.000124 -0.000010 + + -
20 7 from 0.011398 0.011134 -0.000264 -0.000035 -0.000034 0.000002 0.000015 0.000014 -0.000001 - + -
20 8 tectonic 0.013364 0.013054 -0.000310 -0.000048 -0.000046 0.000002 0.000021 0.000019 -0.000002 - + -
20 9 plates -0.018480 -0.018052 0.000428 -0.000093 -0.000088 0.000004 0.000040 0.000037 -0.000003 + + -
20 10 clashing. 0.043994 0.042975 -0.001019 -0.000525 -0.000501 0.000024 0.000228 0.000211 -0.000016 - + -
20 11 Rivers -0.026525 -0.025911 0.000615 -0.000191 -0.000182 0.000009 0.000083 0.000077 -0.000006 + + -
20 12 carve -0.000582 -0.000569 0.000013 -0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 + + -
20 13 valleys, -0.034358 -0.033562 0.000796 -0.000320 -0.000306 0.000015 0.000139 0.000129 -0.000010 + + -
20 14 flowing -0.035469 -0.034648 0.000822 -0.000341 -0.000326 0.000016 0.000148 0.000137 -0.000011 + + -
20 15 to -0.011301 -0.011039 0.000262 -0.000035 -0.000033 0.000002 0.000015 0.000014 -0.000001 + + -
20 16 oceans. 0.005121 0.005003 -0.000119 -0.000007 -0.000007 0.000000 0.000003 0.000003 -0.000000 - + -
20 17 Climate 0.044084 0.043063 -0.001021 -0.000528 -0.000503 0.000024 0.000229 0.000212 -0.000017 - + -
20 18 varies—deserts -0.002148 -0.002098 0.000050 -0.000001 -0.000001 0.000000 0.000001 0.000001 -0.000000 + + -
20 19 bake, -0.017484 -0.017079 0.000405 -0.000083 -0.000079 0.000004 0.000036 0.000033 -0.000003 + + -
20 20 tundras -0.025112 -0.024530 0.000582 -0.000171 -0.000163 0.000008 0.000074 0.000069 -0.000005 + + -
20 21 freeze. -0.033091 -0.032324 0.000767 -0.000297 -0.000284 0.000014 0.000129 0.000119 -0.000009 + + -
20 22 Population 0.038726 0.037829 -0.000897 -0.000407 -0.000388 0.000019 0.000176 0.000164 -0.000013 - + -
20 23 clusters 0.013030 0.012728 -0.000302 -0.000046 -0.000044 0.000002 0.000020 0.000019 -0.000001 - + -
20 24 in -0.014439 -0.014104 0.000335 -0.000057 -0.000054 0.000003 0.000025 0.000023 -0.000002 + + -
20 25 cities, 0.042739 0.041749 -0.000990 -0.000496 -0.000473 0.000023 0.000215 0.000199 -0.000016 - + -
20 26 spreading -0.029284 -0.028605 0.000678 -0.000233 -0.000222 0.000011 0.000101 0.000094 -0.000007 + + -
20 27 culture. -0.043556 -0.042547 0.001009 -0.000515 -0.000491 0.000024 0.000223 0.000207 -0.000016 + + -
20 28 Resources 0.044865 0.043826 -0.001039 -0.000546 -0.000521 0.000025 0.000237 0.000220 -0.000017 - + -
20 29 like 0.016276 0.015899 -0.000377 -0.000072 -0.000069 0.000003 0.000031 0.000029 -0.000002 - + -
20 30 oil -0.007693 -0.007515 0.000178 -0.000016 -0.000015 0.000001 0.000007 0.000006 -0.000001 + + -
20 31 or 0.018886 0.018448 -0.000438 -0.000097 -0.000092 0.000004 0.000042 0.000039 -0.000003 - + -
20 32 water -0.006887 -0.006728 0.000160 -0.000013 -0.000012 0.000001 0.000006 0.000005 -0.000000 + + -
20 33 shape 0.000951 0.000929 -0.000022 -0.000000 -0.000000 0.000000 0.000000 0.000000 -0.000000 - + -
20 34 economies. -0.033845 -0.033061 0.000784 -0.000311 -0.000297 0.000014 0.000135 0.000125 -0.000010 + + -
20 35 Maps 0.024025 0.023469 -0.000557 -0.000157 -0.000149 0.000007 0.000068 0.000063 -0.000005 - + -
20 36 guide -0.035058 -0.034245 0.000812 -0.000334 -0.000318 0.000015 0.000145 0.000134 -0.000010 + + -
20 37 travel, 0.037089 0.036230 -0.000859 -0.000373 -0.000356 0.000017 0.000162 0.000150 -0.000012 - + -
20 38 showing -0.031843 -0.031105 0.000738 -0.000275 -0.000263 0.000013 0.000119 0.000111 -0.000009 + + -
20 39 borders -0.009365 -0.009148 0.000217 -0.000024 -0.000023 0.000001 0.000010 0.000010 -0.000001 + + -
20 40 and -0.024901 -0.024324 0.000577 -0.000168 -0.000161 0.000008 0.000073 0.000068 -0.000005 + + -
20 41 terrain. -0.005997 -0.005858 0.000139 -0.000010 -0.000009 0.000000 0.000004 0.000004 -0.000000 + + -
20 42 explains 0.023489 0.022945 -0.000544 -0.000150 -0.000143 0.000007 0.000065 0.000060 -0.000005 - + -
20 43 human-environment -0.020170 -0.019703 0.000467 -0.000110 -0.000105 0.000005 0.000048 0.000044 -0.000003 + + -
20 44 ties. 0.015506 0.015147 -0.000359 -0.000065 -0.000062 0.000003 0.000028 0.000026 -0.000002 - + -
20 45 end_token 0.007820 0.004717 -0.003103 -0.000017 -0.000006 0.000011 0.000007 0.000003 -0.000005 - + -
25 1 Geography -0.301083 -0.476303 -0.175220 -0.024602 -0.061540 -0.036939 0.010365 0.020680 0.010315 - - +
25 2 maps 0.011126 0.010868 -0.000258 -0.000034 -0.000032 0.000002 0.000014 0.000011 -0.000003 - + -
25 3 Earth’s -0.010303 -0.010065 0.000239 -0.000029 -0.000027 0.000001 0.000012 0.000009 -0.000003 + + -
25 4 features. 0.014528 0.014191 -0.000337 -0.000057 -0.000055 0.000003 0.000024 0.000018 -0.000006 - + -
25 5 Mountains -0.039362 -0.038450 0.000912 -0.000420 -0.000401 0.000019 0.000177 0.000135 -0.000042 + + -
25 6 rise -0.032893 -0.032131 0.000762 -0.000294 -0.000280 0.000014 0.000124 0.000094 -0.000030 + + -
25 7 from 0.011134 0.010876 -0.000258 -0.000034 -0.000032 0.000002 0.000014 0.000011 -0.000003 - + -
25 8 tectonic 0.013054 0.012752 -0.000302 -0.000046 -0.000044 0.000002 0.000019 0.000015 -0.000005 - + -
25 9 plates -0.018052 -0.017634 0.000418 -0.000088 -0.000084 0.000004 0.000037 0.000028 -0.000009 + + -
25 10 clashing. 0.042975 0.041979 -0.000996 -0.000501 -0.000478 0.000023 0.000211 0.000161 -0.000051 - + -
