[2026-04-01 13:32:39] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:42] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:43] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:32:43] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:32:43] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:32:44] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:44] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:32:44] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:32:44] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:32:45] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:32:45] KeyCaptured: 127 ('?') | Source: orchestrator
[2026-04-01 13:32:45] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:32:45] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:32:50] KeyCaptured: 27 ('?') | Source: orchestrator
[2026-04-01 13:32:50] KeyCaptured: 49 ('1') | Source: orchestrator
[2026-04-01 13:32:50] KeyCaptured: 48 ('0') | Source: orchestrator
[2026-04-01 13:32:51] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:53] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:55] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 13:32:55] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:58] KeyCaptured: 53 ('5') | Source: orchestrator
[2026-04-01 13:32:58] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:32:59] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:00] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:00] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 13:33:01] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:01] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:01] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:02] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:02] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:04] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 13:33:06] KeyCaptured: 51 ('3') | Source: orchestrator
[2026-04-01 13:33:07] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:08] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:08] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 13:33:08] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:09] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:09] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:09] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:10] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:10] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:10] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:10] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:11] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:11] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:11] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:11] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:12] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:12] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:12] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:12] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:13] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:13] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:13] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:13] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:13] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:14] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:15] KeyCaptured: 51 ('3') | Source: orchestrator
[2026-04-01 13:33:15] KeyCaptured: 52 ('4') | Source: orchestrator
[2026-04-01 13:33:15] KeyCaptured: 51 ('3') | Source: orchestrator
[2026-04-01 13:33:24] KeyCaptured: 27 ('?') | Source: orchestrator
[2026-04-01 13:33:25] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:26] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 13:33:27] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:28] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:30] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 13:33:30] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:31] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:32] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 13:33:32] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:32] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:33] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 13:33:34] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 13:33:34] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 13:33:34] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 14:18:04] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:04] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:05] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:06] KeyCaptured: 53 ('5') | Source: orchestrator
[2026-04-01 14:18:07] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:08] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:08] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:09] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:10] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 14:18:10] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:10] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:11] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:11] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:11] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:13] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 14:18:14] KeyCaptured: 51 ('3') | Source: orchestrator
[2026-04-01 14:18:15] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:15] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:28] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:28] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:29] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 14:18:29] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:30] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:30] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:31] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:18:34] KeyCaptured: 57 ('9') | Source: orchestrator
[2026-04-01 14:18:35] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:18:36] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 14:18:36] KeyCaptured: 1002 ('?') | Source: orchestrator
[2026-04-01 14:18:36] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:18:37] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 14:27:38] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:27:39] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 14:27:39] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:27:41] KeyCaptured: 53 ('5') | Source: orchestrator
[2026-04-01 14:27:41] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:27:44] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:27:44] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 14:27:45] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:27:45] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:27:46] KeyCaptured: 51 ('3') | Source: orchestrator
[2026-04-01 14:27:48] KeyCaptured: 57 ('9') | Source: orchestrator
[2026-04-01 14:27:48] KeyCaptured: 1001 ('?') | Source: orchestrator
[2026-04-01 14:27:49] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:27:49] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:27:49] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:27:50] KeyCaptured: 1003 ('?') | Source: orchestrator
[2026-04-01 14:27:50] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 14:47:27] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:47:28] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 14:47:28] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:47:31] KeyCaptured: 52 ('4') | Source: orchestrator
[2026-04-01 14:47:32] KeyCaptured: 53 ('5') | Source: orchestrator
[2026-04-01 14:47:32] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:47:33] KeyCaptured: 13 ('?') | Source: orchestrator
[2026-04-01 14:47:33] KeyCaptured: 1000 ('?') | Source: orchestrator
[2026-04-01 14:47:35] KeyCaptured: 50 ('2') | Source: orchestrator
[2026-04-01 15:18:22] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:18:22] KeyCaptured: 1002 ('?') | Source: keyboard_linux
[2026-04-01 15:18:23] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:24] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:28] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:28] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:30] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:30] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:30] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:30] KeyCaptured: 1000 ('?') | Source: keyboard_linux
[2026-04-01 15:18:31] KeyCaptured: 127 ('?') | Source: keyboard_linux
[2026-04-01 15:18:31] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:31] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:31] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:32] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:32] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:32] KeyCaptured: 1001 ('?') | Source: keyboard_linux
[2026-04-01 15:18:34] KeyCaptured: 27 ('?') | Source: keyboard_linux
[2026-04-01 15:18:36] KeyCaptured: 57 ('9') | Source: keyboard_linux
[2026-04-01 15:18:36] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:38] KeyCaptured: 1003 ('?') | Source: keyboard_linux
[2026-04-01 15:18:38] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:39] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:40] KeyCaptured: 13 ('?') | Source: keyboard_linux
[2026-04-01 15:18:41] KeyCaptured: 1001 ('?') | Source: keyboard_linux
