epoch word_index word pe_old pe_current pe_difference weight1_old weight1_current weight1_difference weight2_old weight2_current weight2_difference final_pe_change final_weight1_change final_weight2_change
10 12 describes -0.001153 -0.001064 0.000088 0.000001 0.000001 -0.000000 -0.000002 -0.000009 -0.000007 + - -
10 13 how -0.031484 -0.029070 0.002414 0.000894 0.000762 -0.000132 -0.001433 -0.006891 -0.005458 + - -
10 14 objects -0.059598 -0.089084 -0.029486 0.003203 0.007158 0.003955 -0.005134 -0.064716 -0.059582 - + -
10 15 move—Newton’s 0.015929 0.014707 -0.001221 0.000229 0.000195 -0.000034 -0.000367 -0.001764 -0.001397 - - -
10 16 laws 0.037336 0.034474 -0.002863 0.001257 0.001072 -0.000185 -0.002015 -0.009691 -0.007676 - - -
10 17 say 0.009106 0.008407 -0.000698 0.000075 0.000064 -0.000011 -0.000120 -0.000576 -0.000457 - - -
10 18 force -0.028535 -0.026347 0.002188 0.000734 0.000626 -0.000108 -0.001177 -0.005661 -0.004484 + - -
10 19 equals 0.009438 0.008715 -0.000724 0.000080 0.000069 -0.000012 -0.000129 -0.000619 -0.000491 - - -
10 20 mass -0.024995 -0.023078 0.001917 0.000563 0.000480 -0.000083 -0.000903 -0.004343 -0.003440 + - -
10 21 times 0.000868 0.000801 -0.000067 0.000001 0.000001 -0.000000 -0.000001 -0.000005 -0.000004 - - -
10 22 acceleration 0.027826 0.025692 -0.002134 0.000698 0.000595 -0.000103 -0.001119 -0.005383 -0.004264 - - -
10 23 (F 0.032595 0.030096 -0.002499 0.000958 0.000817 -0.000141 -0.001536 -0.007386 -0.005851 - - -
10 24 = 0.035094 0.032403 -0.002691 0.001111 0.000947 -0.000164 -0.001780 -0.008562 -0.006782 - - -
10 25 ma). 0.006984 0.006448 -0.000535 0.000044 0.000038 -0.000006 -0.000070 -0.000339 -0.000269 - - -
10 26 Thermodynamics 0.019504 0.018009 -0.001496 0.000343 0.000293 -0.000051 -0.000550 -0.002645 -0.002095 - - -
10 27 examines -0.008113 -0.007491 0.000622 0.000059 0.000051 -0.000009 -0.000095 -0.000458 -0.000362 + - -
10 28 heat -0.032555 -0.030059 0.002496 0.000956 0.000815 -0.000141 -0.001532 -0.007368 -0.005836 + - -
10 29 energy 0.026270 0.024256 -0.002014 0.000622 0.000531 -0.000092 -0.000998 -0.004798 -0.003800 - - -
10 30 transfer, 0.023525 0.021722 -0.001804 0.000499 0.000426 -0.000074 -0.000800 -0.003848 -0.003048 - - -
10 31 defining -0.011904 -0.010991 0.000913 0.000128 0.000109 -0.000019 -0.000205 -0.000985 -0.000780 + - -
10 32 temperature 0.028964 0.026743 -0.002221 0.000757 0.000645 -0.000111 -0.001213 -0.005832 -0.004619 - - -
10 33 entropy. 0.021067 0.019452 -0.001615 0.000400 0.000341 -0.000059 -0.000642 -0.003085 -0.002444 - - -
10 34 Electromagnetism 0.009403 0.008682 -0.000721 0.000080 0.000068 -0.000012 -0.000128 -0.000615 -0.000487 - - -
10 35 covers -0.014845 -0.013707 0.001138 0.000199 0.000169 -0.000029 -0.000319 -0.001532 -0.001214 + - -
10 36 electricity -0.017862 -0.016493 0.001370 0.000288 0.000245 -0.000042 -0.000461 -0.002218 -0.001757 + - -
10 37 magnetism, 0.020684 0.019098 -0.001586 0.000386 0.000329 -0.000057 -0.000618 -0.002974 -0.002356 - - -
10 38 with 0.004158 0.003839 -0.000319 0.000016 0.000013 -0.000002 -0.000025 -0.000120 -0.000095 - - -
10 39 currents 0.037512 0.034636 -0.002876 0.001269 0.001082 -0.000187 -0.002034 -0.009783 -0.007749 - - -
10 40 generating -0.034883 -0.032208 0.002675 0.001097 0.000936 -0.000162 -0.001759 -0.008459 -0.006700 + - -
10 41 fields -0.012947 -0.011954 0.000993 0.000151 0.000129 -0.000022 -0.000242 -0.001165 -0.000923 + - -
10 42 light 0.034530 0.031883 -0.002648 0.001075 0.000917 -0.000158 -0.001723 -0.008289 -0.006566 - - -
10 43 as -0.031329 -0.046828 -0.015500 0.000885 0.001978 0.001093 -0.001419 -0.017882 -0.016464 - + -
10 44 waves. -0.017134 -0.015821 0.001314 0.000265 0.000226 -0.000039 -0.000424 -0.002041 -0.001617 + - -
