number word embedding pe weight bias1 bias2 bias3 bias4
164 What’s 0.604767 0.354348 0.543373 0.000000 0.000000 0.000000 0.000000
165 Wraith 0.883540 0.356522 0.885034 0.000000 0.000000 0.000000 0.000000
166 Writes 0.183531 0.358696 0.022793 0.000000 0.000000 0.000000 0.000000
167 Yellow 1.137777 0.360870 1.195286 0.000000 0.000000 0.000000 0.000000
168 ` 0.344669 0.363043 0.218533 0.000000 0.000000 0.000000 0.000000
169 `-lGL 0.303345 0.365217 0.166474 0.000000 0.000000 0.000000 0.000000
170 `4 1.032129 0.367391 1.061649 0.000000 0.000000 0.000000 0.000000
171 `PIXEL_SCALE` 0.765790 0.369565 0.732822 0.000000 0.000000 0.000000 0.000000
172 ``` 0.655805 0.371739 0.596310 0.000000 0.000000 0.000000 0.000000
173 ```bash 0.233763 0.373913 0.075968 0.000000 0.000000 0.000000 0.000000
174 ```text 0.886162 0.376087 0.877189 0.000000 0.000000 0.000000 0.000000
175 `bypass_gl 1.115673 0.378261 1.158258 0.000000 0.000000 0.000000 0.000000
176 `bypass_gl` 0.527681 0.380435 0.433798 0.000000 0.000000 0.000000 0.000000
177 `chmod 0.581008 0.382609 0.498160 0.000000 0.000000 0.000000 0.000000
178 `cursor_x 0.976450 0.384783 0.983324 0.000000 0.000000 0.000000 0.000000
179 `fork 0.366471 0.386957 0.231819 0.000000 0.000000 0.000000 0.000000
180 `freeglut3-dev` 0.498586 0.389130 0.393091 0.000000 0.000000 0.000000 0.000000
181 `gdb 0.186418 0.391304 0.007894 0.000000 0.000000 0.000000 0.000000
182 `gdb` 0.392890 0.393478 0.260625 0.000000 0.000000 0.000000 0.000000
183 `libgl1-mesa-dev` 0.235951 0.395652 0.066360 0.000000 0.000000 0.000000 0.000000
184 `locations 0.637929 0.397826 0.559563 0.000000 0.000000 0.000000 0.000000
185 `log 0.196231 0.400000 0.015044 0.000000 0.000000 0.000000 0.000000
186 `pixel 1.054575 0.402174 1.069577 0.000000 0.000000 0.000000 0.000000
187 `primitive 0.219246 0.404348 0.040893 0.000000 0.000000 0.000000 0.000000
188 `read_primitive 0.188145 0.406522 0.001408 0.000000 0.000000 0.000000 0.000000
189 `read_primitive` 0.332249 0.408696 0.177426 0.000000 0.000000 0.000000 0.000000
190 `rgb 0.207496 0.410870 0.022750 0.000000 0.000000 0.000000 0.000000
191 `rgb_gl 0.987714 0.413043 0.981188 0.000000 0.000000 0.000000 0.000000
192 `rgb_gl` 0.515658 0.415217 0.399329 0.000000 0.000000 0.000000 0.000000
193 `run` 0.818106 0.417391 0.770110 0.000000 0.000000 0.000000 0.000000
194 `stat 0.853545 0.419565 0.812470 0.000000 0.000000 0.000000 0.000000
195 `state 0.992086 0.421739 0.981646 0.000000 0.000000 0.000000 0.000000
196 `x 1.058197 0.423913 1.061732 0.000000 0.000000 0.000000 0.000000
197 a 0.373670 0.426087 0.218534 0.000000 0.000000 0.000000 0.000000
198 a0 1.060158 0.428261 1.061684 0.000000 0.000000 0.000000 0.000000
199 a0🪄️🔮️ 0.544384 0.430435 0.426052 0.000000 0.000000 0.000000 0.000000
200 about 0.429752 0.432609 0.283825 0.000000 0.000000 0.000000 0.000000
201 action-fantasy 0.440454 0.434783 0.295758 0.000000 0.000000 0.000000 0.000000
202 actions 1.121982 0.436957 1.132808 0.000000 0.000000 0.000000 0.000000
203 adjust 1.009056 0.439130 0.992679 0.000000 0.000000 0.000000 0.000000
204 aether 0.540726 0.441304 0.415403 0.000000 0.000000 0.000000 0.000000
205 and 0.690360 0.443478 0.598223 0.000000 0.000000 0.000000 0.000000
206 apt 0.691442 0.445652 0.598324 0.000000 0.000000 0.000000 0.000000
207 args 0.260450 0.447826 0.066973 0.000000 0.000000 0.000000 0.000000
208 arts 0.261879 0.450000 0.067501 0.000000 0.000000 0.000000 0.000000
209 as 1.071225 0.452174 1.061767 0.000000 0.000000 0.000000 0.000000
210 b1🪄️🔮️ 0.911002 0.454348 0.863462 0.000000 0.000000 0.000000 0.000000
211 background 0.758869 0.456522 0.675109 0.000000 0.000000 0.000000 0.000000
212 being 0.728706 0.458696 0.636778 0.000000 0.000000 0.000000 0.000000
213 black 0.972194 0.460870 0.935039 0.000000 0.000000 0.000000 0.000000
214 blocks 0.802635 0.463043 0.725251 0.000000 0.000000 0.000000 0.000000
215 build-essential 0.791802 0.465217 0.710696 0.000000 0.000000 0.000000 0.000000
216 by 1.078264 0.467391 1.061815 0.000000 0.000000 0.000000 0.000000
217 bypass_gl 0.479209 0.469565 0.323747 0.000000 0.000000 0.000000 0.000000
218 c 0.394672 0.471739 0.218537 0.000000 0.000000 0.000000 0.000000
219 c** 0.704236 0.473913 0.598070 0.000000 0.000000 0.000000 0.000000
220 c4 1.082228 0.476087 1.061770 0.000000 0.000000 0.000000 0.000000
221 c` 1.083272 0.478261 1.061825 0.000000 0.000000 0.000000 0.000000
