[2026-04-24 20:26:49] FrameRendered: at 2026-04-24 20:26:49 | Source: renderer
[2026-04-24 20:26:49] FrameRendered: at 2026-04-24 20:26:49 | Source: renderer
[1777076811] EntityMoved: xlector | from (9,5) to (10,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (10,5) to (11,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (11,5) to (12,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (12,5) to (13,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (13,5) to (14,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (14,5) to (15,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (15,5) to (16,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (16,5) to (17,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] TreasureFound: xlector | 
[1777076811] EntityMoved: xlector | from (17,5) to (18,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[1777076811] EntityMoved: xlector | from (18,5) to (19,5)
[2026-04-24 20:26:51] FrameRendered: at 2026-04-24 20:26:51 | Source: renderer
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[1777076812] TreasureFound: xlector | 
[1777076812] EntityMoved: xlector | from (19,5) to (18,5)
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[1777076812] EntityMoved: xlector | from (18,5) to (17,5)
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[1777076812] EntityMoved: xlector | from (17,5) to (16,5)
[2026-04-24 20:26:52] FrameRendered: at 2026-04-24 20:26:52 | Source: renderer
[1777076812] EntityMoved: xlector | from (16,5) to (15,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (15,5) to (14,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (14,5) to (13,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (13,5) to (12,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (12,5) to (11,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (11,5) to (10,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (10,5) to (9,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (9,5) to (8,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (8,5) to (7,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (7,5) to (6,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (6,5) to (5,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (5,5) to (4,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (4,5) to (3,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (3,5) to (2,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (2,5) to (1,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[1777076813] EntityMoved: xlector | from (1,5) to (0,5)
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:53] FrameRendered: at 2026-04-24 20:26:53 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[1777076814] EntityMoved: xlector | from (0,5) to (1,5)
[2026-04-24 20:26:54] FrameRendered: at 2026-04-24 20:26:54 | Source: renderer
[1777076815] EntityMoved: xlector | from (1,5) to (2,5)
[2026-04-24 20:26:55] FrameRendered: at 2026-04-24 20:26:55 | Source: renderer
[1777076815] EntityMoved: xlector | from (2,5) to (3,5)
[2026-04-24 20:26:55] FrameRendered: at 2026-04-24 20:26:55 | Source: renderer
[1777076815] EntityMoved: xlector | from (3,5) to (4,5)
[2026-04-24 20:26:55] FrameRendered: at 2026-04-24 20:26:55 | Source: renderer
[1777076815] EntityMoved: xlector | from (4,5) to (5,5)
[2026-04-24 20:26:55] FrameRendered: at 2026-04-24 20:26:55 | Source: renderer
[2026-04-24 20:26:55] FrameRendered: at 2026-04-24 20:26:55 | Source: renderer
[1777076826] EntityMoved: xlector | from (5,5) to (4,5)
[2026-04-24 20:27:06] FrameRendered: at 2026-04-24 20:27:06 | Source: renderer
[1777076827] EntityMoved: xlector | from (4,5) to (4,6)
[2026-04-24 20:27:07] FrameRendered: at 2026-04-24 20:27:07 | Source: renderer
[1777076828] EntityMoved: xlector | from (4,6) to (4,5)
[2026-04-24 20:27:08] FrameRendered: at 2026-04-24 20:27:08 | Source: renderer
[1777076828] EntityMoved: xlector | from (4,5) to (4,4)
[2026-04-24 20:27:08] FrameRendered: at 2026-04-24 20:27:08 | Source: renderer
[1777076828] EntityMoved: xlector | from (4,4) to (4,3)
[2026-04-24 20:27:08] FrameRendered: at 2026-04-24 20:27:08 | Source: renderer
[1777076828] EntityMoved: xlector | from (4,3) to (4,2)
[2026-04-24 20:27:09] FrameRendered: at 2026-04-24 20:27:09 | Source: renderer
[1777076829] EntityMoved: xlector | from (4,2) to (4,3)
[2026-04-24 20:27:09] FrameRendered: at 2026-04-24 20:27:09 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,3) to (4,4)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,4) to (4,5)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,5) to (4,6)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,6) to (4,7)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,7) to (4,8)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,8) to (4,9)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076830] EntityMoved: xlector | from (4,9) to (4,8)
[2026-04-24 20:27:10] FrameRendered: at 2026-04-24 20:27:10 | Source: renderer
[1777076831] EntityMoved: xlector | from (4,8) to (4,7)
[2026-04-24 20:27:11] FrameRendered: at 2026-04-24 20:27:11 | Source: renderer
[1777076831] EntityMoved: xlector | from (4,7) to (4,6)
[2026-04-24 20:27:11] FrameRendered: at 2026-04-24 20:27:11 | Source: renderer
[1777076831] EntityMoved: xlector | from (4,6) to (4,5)
[2026-04-24 20:27:11] FrameRendered: at 2026-04-24 20:27:11 | Source: renderer
